tarefas,prioridade p,edf,sjf,fifo,rr,prioridade np,ug,vf mediana,vf media,vf media intervalo,vf min,vf max
398,1587.838002554643,218.3112735248093,629.2930272982361,871.0711465199645,1385.7200788838309,1033.6308356967431,416.78178299017753,721.1730103442317,711.2418024221234,709.9418782951034,709.7834127955766,715.7763110158552
312,1165.428843245908,1372.5887495913007,454.3311128798079,148.94067799113589,999.0097056656185,1480.0024005594455,594.6640416630477,519.220496230738,517.1873843164445,518.0283299440341,514.3023647421173,523.1484932812481
2,10.030364420988768,312.39770516195057,5.165182210494384,1277.5260357110933,5.465182210494384,157.08261732149555,57.78334326435919,5.465182210494384,5.465182210494384,5.465182210494384,5.465182210494384,5.465182210494384
392,1527.668014056839,1285.7302473419768,653.3601728864478,1632.3863307820368,1419.6373283855194,1722.7814810818936,440.0572796428597,749.0582139215691,740.8683151170387,739.5191371617375,739.9690691604861,752.1276972374378
343,1405.0678272826542,1482.0089050690724,579.4493395550866,992.1376654118678,1264.2378866480292,1579.4038958409442,1646.4369535119843,661.9143469289992,660.9468153616837,659.4559774217365,656.1122035490029,670.9188192863389
427,1784.6381945008561,746.3256887835853,690.6456219530718,1707.7880130115316,1522.1433808926374,219.54528781651558,1490.7764208975186,789.7758769663333,778.1720437800691,779.5385575070444,774.2825145674084,790.6628448604797
253,1093.6034802585098,1088.6572372760581,465.89902131375214,1840.4659206430554,1027.8211993717348,475.86297684389467,1752.2459491933485,538.0730189549953,534.9029018051153,534.0364999350832,531.8507423317278,539.6719031136134
90,394.50339319125834,1422.726510014706,171.4926575675339,1582.3477982783031,364.85502713671366,634.6803811505312,751.8853534037854,208.09097673092657,206.72386142288784,206.3121070370092,205.5392324573166,208.1907841641383
82,318.50199293351153,1270.324309756147,140.679159378934,659.504077329512,306.26972766987024,778.8990542501693,1549.8105112646354,170.39715013843946,168.90789521448596,169.51155375107135,169.1493586291201,170.7593452603907
98,414.0013554068849,318.1834621230829,152.786728175901,758.4523851551518,320.45720545530304,548.9819830576547,319.0748252205337,184.03678325798342,181.8331372654799,181.11837974753846,180.94457225945635,183.30140017360074
166,573.273127205383,1123.0517200392683,246.06491919615056,1417.0131123545814,530.5580917718827,1071.3371873764797,1143.2768593840335,287.60014260786124,285.5951149090667,285.5470543829412,285.6335873834249,288.65446427274145
158,666.9182693311941,436.01644976366134,281.7445018012363,1514.580574538521,608.2264392415127,1159.9443380389155,167.31766930765627,331.7338424760933,329.6912435746924,330.23963059396885,329.2931635900898,332.9922443903996
145,619.9725751180929,979.3446865212557,257.3296248650085,439.03043405909904,556.9526424290885,1481.8730694699846,613.261444748003,300.7126409946386,300.88034128395327,299.8554495529257,299.4913116218911,301.70237376611044
399,1663.964431803335,352.8577194151742,717.7752896875995,537.7682505808095,1599.880309793288,158.88922326791828,1697.6088286069778,821.5567312123686,810.6730779256649,810.4573913131385,808.6100630810039,820.7455331010273
280,1201.9729424944721,1789.7165420400368,453.1900121562655,1647.8577128253946,996.564906978092,1295.1790081414435,1621.50730465699,522.7917455135006,515.6401525089534,517.1962130254635,514.519337224734,520.6876848016773
84,303.88584865638103,1394.3327004797582,130.32559376070168,88.275549112489,291.7642930343916,24.029951380549605,1387.818151693437,160.74307452501623,158.8017205587896,159.35172055878962,160.07521738215908,160.164961150338
373,1327.6153496040158,178.49588073500578,574.5828615556482,1178.0973057177875,1239.0964360095973,251.48157159288462,1472.372182543317,650.4692225154887,648.3195473175813,647.3124486398434,645.1324438420012,652.7262529296397
490,2152.539044877159,340.1487484411492,870.7841870988556,815.9479516328462,1887.3125826246055,399.27800995446916,334.7425020941995,997.3321909216963,984.9523221417599,981.6635824908152,979.927193549809,997.4460804680135
79,334.2169961580252,1811.0932505037017,137.51203626366907,433.5719633721243,285.8599518547113,1078.6575834409684,1069.480954951354,165.88118424971302,165.7269583375731,165.29406524510648,165.3231307340185,166.11064439080965
474,1943.508203307218,153.10686636847674,786.3902997455067,881.3184719339266,1712.3238171045273,609.6075109872156,1228.914362458538,896.9257494176225,889.74944113438,888.1236829210267,883.0759597624019,901.3615937607065
466,2201.35007319887,1109.559291560675,884.345052229273,949.7882846010408,1948.298740793287,1729.9747215750613,1781.3015957066948,1008.7734610899838,1001.9788314241335,1000.5867346501027,997.7907261955631,1011.6369735075318
3,18.249843314693916,1614.5858493277262,11.620262293196268,346.1152615995865,15.920262293196268,976.0643224802495,786.6449685575209,13.720262293196265,13.720262293196265,13.720262293196265,13.720262293196265,13.720262293196265
374,1318.657163502599,1220.532226487836,565.0270165355865,131.96569524646387,1224.7626557614612,1388.8567212813682,85.19916381459247,641.1116194393375,637.5786774467398,636.2851754932029,634.4249826613573,642.0775916505063
20,53.3868173304676,1245.0176287416796,23.951790134862073,1433.9300780607946,48.7719739079114,1036.5691650402725,770.7768714485887,30.945625555297095,30.945625555297102,30.945625555297102,30.945625555297095,30.945625555297102
219,1034.0256052694901,720.5881325561344,489.72641043335466,1584.7343569619368,1051.6391032203244,1257.4142232170532,418.46636570651907,565.7148720650529,563.4348316913304,561.1071362793805,560.306044654834,566.2260559532266
207,780.2699826071017,1683.397130225303,342.9171684979086,654.2289473066027,738.2932818519998,1260.5909207470272,1126.6479056562307,395.15639216718955,394.12623730431153,393.1650111494289,391.5157465505467,395.64443033698046
135,586.4995466463125,611.3663247687387,257.51430426347673,1661.4053843516645,552.548064721624,1003.0501036830814,572.2892204894155,303.92582615058336,302.73837424205755,303.1712531897554,302.3743395157412,304.4231344619203
173,751.3544740607996,1729.4436857712049,308.213581572439,643.6610030068741,672.6302048575433,1007.1671669358772,520.3632933879531,361.9735730873147,360.39798121163426,359.25856477048654,358.83396511884774,363.4266717980499
497,1954.7236955075448,571.1998811008604,863.1170625033233,348.1211329561569,1877.8215350242674,165.787702732918,1006.9566205805969,977.7374982105354,966.2374953973523,965.5523724903472,962.3185128957753,980.4989200294648
85,305.2715597530697,808.2665391939094,136.79057639513582,1469.7525846839144,305.86579478178004,1378.3311731888978,1462.4152224100976,165.522515147146,166.6095739706754,166.54370211410773,164.8354668199901,166.92016220596952
334,1244.0883790053244,306.4159012321803,496.55921209035154,1532.3571385048192,1073.721311497868,259.70768401672933,218.70975763356466,568.2851120593872,563.386262242219,563.4589553748774,561.0201034026878,567.4767706903509
204,864.3840070244589,1742.2761487465575,364.8396954036832,448.3397667095798,773.8224328374653,710.3676040023728,357.80612867018976,426.9598177124966,423.0836210605407,421.5339391183851,421.605222884154,425.05287655944204
184,652.306036038661,1372.58107130715,275.1890141090727,1868.0152455213522,600.2647661238515,747.9462735056397,1389.4132749727855,320.1737301107466,317.59371397819444,317.4688372051223,316.51582081093386,320.0745668096464
296,1269.629729521489,1940.3600452322137,542.3059233334029,772.9718636415724,1198.7498550007651,296.09281425571027,660.7792582235029,626.3697608700261,618.9630807683768,618.138528991569,615.8815040342415,626.4491630367443
220,922.0892245106314,1608.1530539718194,367.63789006481727,1427.5714523965166,792.5414633928466,386.8334227861548,41.71018299273245,422.3672065249193,422.5635225290344,422.7784938028494,419.44793123320846,425.6435615575346
378,1464.3281709310554,716.0279238787393,604.6395759996016,233.96688557860872,1333.315769568776,801.000736437059,695.9351280451208,689.3363813336515,684.1820427288262,683.0069865717137,680.7890070705954,691.4852531419292
435,1888.4247512251168,1809.829612774228,826.370653394715,962.2451652077632,1828.1868504858471,116.17161312540247,1217.8530319351783,937.9786139380872,931.4503570069821,932.4828208526555,927.1168327456828,942.7073025738098
269,1106.0481482586015,1289.161051064418,483.09590739907014,819.1101023067649,1041.6306472591116,697.168015970346,1787.1623481629827,555.2271324701028,549.1756967605062,550.5239919682554,549.6037986434119,554.0219051992314
300,1141.633827157899,1496.2015638709008,502.448937367001,113.67204962929888,1098.1926648457832,1434.4488997764563,767.4813059932052,571.0712574633677,566.9412041568366,568.5461090873927,564.0532979219064,572.2337737313194
69,288.540099067154,1271.0220295117706,124.97675590293616,1403.6537378989933,269.3363640142507,354.4139292122631,2012.7065289733075,154.434943206084,154.60200289543602,153.74113333021862,153.502002895436,155.61456917633603
395,1670.0751231706126,324.96374548216863,676.7217892218649,428.90796651146775,1459.4107334858868,973.3196808015758,363.60742488797086,774.3899458395725,766.7888388812188,763.5794260560601,762.6127834674927,769.1407632102049
186,688.3763353601137,1801.2503812291518,284.1378544135859,128.13438557107966,613.2406581120439,1094.3056205676594,1752.3630345970007,332.42187908800867,329.46017834432166,330.0124801836426,328.4146423391456,331.8779042361825
446,1830.9964463451668,1526.398270442621,784.009846210699,898.1430808928403,1722.6229091565838,886.8970243127264,780.3875804382315,892.0877755132653,882.477971535622,883.396080020217,879.0414855525017,895.7579776183328
264,1164.5117999987078,47.96654701861603,489.7470656638452,479.9507528826153,1060.7120162764031,1135.216322738502,416.468958625237,564.555612840128,562.4385132893887,562.1255019692813,559.8070703963225,565.0312787741192
10,60.02402687442954,445.33183671678546,22.313297749469744,843.0565688955785,36.7164848445008,1561.1426351670068,1793.456665372173,26.183297749469734,26.183297749469734,26.183297749469734,26.183297749469734,26.183297749469734
437,1814.759728792595,47.480377450236496,731.9143735723685,469.6335398203388,1603.601292541611,697.942371783068,1367.2595991472924,840.4261408892504,831.1103976405151,828.0349946125014,825.9871259741335,839.9320825473599
245,1110.6514667212214,190.8986235067605,462.41681769344734,771.0170553225167,993.757913224423,47.35503530478111,604.4456872485085,536.6108770458604,530.5757194998907,530.2516121544321,528.9829636487501,536.754849779399
380,1519.7425999135962,1811.9586655886144,658.3142067216572,1708.5351343510363,1432.6818134353691,709.8634411696834,1404.5190007712472,750.6654844344797,745.0115744753177,743.6840027701194,741.2722488998124,751.8025802920253
432,1813.3244526461986,461.00458300005033,783.9031748669157,897.3457464241937,1688.0670943699402,80.69493561751423,482.6229082282297,892.0542355646592,883.4146224437137,883.1475630412277,878.6453569870542,893.452257304536
187,785.296963948376,990.3842792026593,350.51801653248316,1279.2638564159163,781.3190969545016,724.0361752063501,1544.043521720133,414.1127470226581,407.3468041990642,408.4888092687939,408.62853258502537,410.11269500063946
156,528.4615280239417,453.7899043487552,244.95189586092033,1081.9707511461093,528.833950400728,1305.06076708038,1016.4905229218692,288.2036974329933,285.69416959471755,284.9212137373846,284.6008917911457,286.6951679496245
